indice,Lancelot,Bob (Dumb),Charlie (Dumb),David (Dumb)
2837,0,250,0,250
2838,10,220,10,220
2839,60,190,60,190
2840,20,220,20,220
2841,60,190,60,190
2842,290,30,290,30
2843,80,160,80,160
2844,410,0,410,0
2845,0,240,0,240
2846,280,50,280,50
2847,290,30,290,30
2848,0,240,0,240
2849,40,200,40,200
2850,300,30,300,30
2851,300,20,300,20
2852,80,160,80,160
2853,60,180,60,180
2854,270,50,270,50
2855,410,0,410,0
2856,260,60,260,60
2857,300,30,300,30
2858,60,190,60,190
2859,290,20,290,20
2860,0,330,0,330
2861,80,170,80,170
2862,270,50,270,50
2863,410,0,410,0
2864,300,20,300,20
2865,0,240,0,240
2866,410,0,410,0
2867,410,0,410,0
2868,290,30,290,30
2869,310,10,310,10
2870,10,230,10,230
2871,410,0,410,0
2872,50,190,50,190
2873,0,330,0,330
2874,290,30,290,30
2875,290,30,290,30
2876,410,0,410,0
2877,290,30,290,30
2878,300,20,300,20
2879,270,60,270,60
2880,290,40,290,40
2881,80,170,80,170
2882,290,30,290,30
2883,290,30,290,30
2884,260,70,260,70
2885,0,330,0,330
2886,20,230,20,230
2887,40,200,40,200
2888,410,0,410,0
2889,20,230,20,230
2890,0,240,0,240
2891,280,50,280,50
2892,40,210,40,210
2893,0,240,0,240
2894,280,40,280,40
2895,40,200,40,200
2896,410,0,410,0
2897,310,10,310,10
2898,290,40,290,40
2899,280,40,280,40
2900,20,220,20,220
2901,410,0,410,0
2902,60,190,60,190
2903,310,10,310,10
2904,50,190,50,190
2905,0,240,0,240
2906,270,50,270,50
2907,20,230,20,230
2908,320,10,320,10
2909,80,160,80,160
2910,40,190,40,190
2911,50,190,50,190
2912,310,10,310,10
2913,0,330,0,330
2914,80,160,80,160
2915,310,10,310,10
2916,260,60,260,60
2917,270,50,270,50
2918,410,0,410,0
2919,250,70,250,70
2920,410,0,410,0
2921,80,160,80,160
2922,250,70,250,70
2923,30,210,30,210
2924,80,170,80,170
2925,0,330,0,330
2926,280,40,280,40
2927,80,160,80,160
2928,280,50,280,50
2929,260,70,260,70
2930,30,210,30,210
2931,10,230,10,230
2932,280,40,280,40
2933,280,40,280,40
2934,320,10,320,10
2935,40,200,40,200
2936,90,160,90,160
2937,30,210,30,210
2938,410,0,410,0
2939,410,0,410,0
2940,0,250,0,250
2941,290,20,290,20
2942,260,60,260,60
2943,0,240,0,240
2944,310,10,310,10
2945,0,240,0,240
2946,280,40,280,40
2947,60,200,60,200
2948,300,30,300,30
2949,70,180,70,180
2950,290,30,290,30
2951,70,180,70,180
2952,10,240,10,240
2953,410,0,410,0
2954,0,240,0,240
2955,250,70,250,70
2956,80,160,80,160
2957,280,40,280,40
2958,40,200,40,200
2959,60,180,60,180
2960,70,170,70,170
2961,270,40,270,40
2962,0,330,0,330
2963,290,30,290,30
2964,250,70,250,70
2965,60,180,60,180
2966,270,50,270,50
2967,30,210,30,210
2968,80,170,80,170
2969,260,60,260,60
2970,0,330,0,330
2971,260,60,260,60
2972,290,30,290,30
2973,80,160,80,160
2974,40,200,40,200
2975,410,0,410,0
2976,80,160,80,160
2977,0,240,0,240
2978,60,180,60,180
2979,280,40,280,40
2980,50,180,50,180
2981,60,180,60,180
2982,260,70,260,70
2983,260,60,260,60
2984,0,240,0,240
2985,80,160,80,160
2986,260,60,260,60
2987,0,240,0,240
2988,0,240,0,240
2989,410,0,410,0
2990,80,160,80,160
2991,300,20,300,20
2992,60,180,60,180
2993,410,0,410,0
2994,10,230,10,230
2995,20,230,20,230
2996,260,70,260,70
2997,0,240,0,240
2998,250,70,250,70
2999,40,200,40,200
3000,300,20,300,20
3001,0,250,0,250
3002,60,180,60,180
3003,40,200,40,200
3004,260,70,260,70
3005,70,180,70,180
3006,310,10,310,10
3007,270,50,270,50
3008,30,210,30,210
3009,410,0,410,0
3010,20,230,20,230
3011,270,60,270,60
3012,250,70,250,70
3013,70,170,70,170
3014,250,70,250,70
3015,0,240,0,240
3016,280,40,280,40
3017,260,70,260,70
3018,80,160,80,160
3019,80,160,80,160
3020,50,190,50,190
3021,270,60,270,60
3022,310,10,310,10
3023,250,70,250,70
3024,60,180,60,180
3025,60,190,60,190
3026,260,70,260,70
3027,60,180,60,180
3028,410,0,410,0
3029,70,170,70,170
3030,290,30,290,30
3031,0,240,0,240
3032,10,230,10,230
3033,410,0,410,0
3034,0,240,0,240
3035,410,0,410,0
3036,60,190,60,190
3037,310,10,310,10
3038,10,230,10,230
3039,70,170,70,170
3040,320,0,320,0
3041,310,20,310,20
3042,70,170,70,170
3043,20,220,20,220
3044,0,250,0,250
3045,0,240,0,240
3046,50,190,50,190
3047,0,240,0,240
3048,290,30,290,30
3049,310,10,310,10
3050,50,200,50,200
3051,240,70,240,70
3052,0,330,0,330
3053,60,190,60,190
3054,310,20,310,20
3055,250,70,250,70
3056,0,330,0,330
3057,280,40,280,40
3058,30,220,30,220
3059,410,0,410,0
3060,300,30,300,30
3061,0,240,0,240
3062,0,240,0,240
3063,60,180,60,180
3064,0,330,0,330
3065,410,0,410,0
3066,0,330,0,330
3067,410,0,410,0
3068,0,330,0,330
3069,260,60,260,60
3070,20,220,20,220
3071,290,30,290,30
3072,30,210,30,210
3073,290,30,290,30
3074,30,210,30,210
3075,0,240,0,240
3076,80,160,80,160
3077,410,0,410,0
3078,280,50,280,50
3079,250,70,250,70
3080,70,180,70,180
3081,410,0,410,0
3082,20,220,20,220
3083,410,0,410,0
3084,410,0,410,0
3085,250,70,250,70
3086,10,240,10,240
3087,280,40,280,40
3088,410,0,410,0
3089,300,20,300,20
3090,410,0,410,0
3091,20,230,20,230
3092,100,160,100,160
3093,50,190,50,190
3094,40,200,40,200
3095,40,200,40,200
3096,290,30,290,30
3097,70,180,70,180
3098,290,30,290,30
3099,50,190,50,190
3100,0,330,0,330
3101,300,20,300,20
3102,40,210,40,210
3103,290,40,290,40
3104,0,330,0,330
3105,50,180,50,180
3106,280,40,280,40
3107,270,60,270,60
3108,290,40,290,40
3109,0,240,0,240
3110,30,220,30,220
3111,290,30,290,30
3112,40,190,40,190
3113,300,20,300,20
3114,280,50,280,50
3115,240,70,240,70
3116,250,70,250,70
3117,0,330,0,330
3118,260,60,260,60
3119,0,240,0,240
3120,80,160,80,160
3121,80,160,80,160
3122,60,180,60,180
3123,80,170,80,170
3124,260,70,260,70
3125,0,250,0,250
3126,280,40,280,40
3127,0,330,0,330
3128,60,180,60,180
3129,60,190,60,190
3130,410,0,410,0
3131,40,200,40,200
3132,40,210,40,210
3133,280,50,280,50
3134,0,330,0,330
3135,410,0,410,0
3136,60,180,60,180
3137,90,160,90,160
3138,80,170,80,170
3139,260,60,260,60
3140,0,330,0,330
3141,0,330,0,330
3142,260,60,260,60
3143,20,220,20,220
3144,50,190,50,190
3145,260,60,260,60
3146,410,0,410,0
3147,310,20,310,20
3148,30,210,30,210
3149,410,0,410,0
3150,410,0,410,0
3151,0,250,0,250
3152,20,220,20,220
3153,0,240,0,240
3154,0,240,0,240
3155,300,20,300,20
3156,70,170,70,170
3157,40,200,40,200
3158,90,160,90,160
3159,60,180,60,180
3160,290,30,290,30
3161,250,70,250,70
3162,50,190,50,190
3163,270,50,270,50
3164,310,10,310,10
3165,0,330,0,330
3166,70,160,70,160
3167,300,20,300,20
3168,310,20,310,20
3169,310,20,310,20
3170,260,60,260,60
3171,410,0,410,0
3172,290,30,290,30
3173,410,0,410,0
3174,410,0,410,0
3175,0,330,0,330
3176,60,180,60,180
3177,290,30,290,30
3178,0,250,0,250
3179,80,160,80,160
3180,270,60,270,60
3181,0,240,0,240
3182,270,50,270,50
3183,280,50,280,50
3184,290,40,290,40
3185,0,250,0,250
3186,60,180,60,180
3187,70,170,70,170
3188,310,10,310,10
3189,290,30,290,30
3190,0,240,0,240
3191,250,70,250,70
3192,80,170,80,170
3193,40,200,40,200
3194,80,160,80,160
3195,60,190,60,190
3196,410,0,410,0
3197,0,240,0,240
3198,60,180,60,180
3199,30,220,30,220
3200,290,30,290,30
3201,30,220,30,220
3202,280,40,280,40
3203,410,0,410,0
3204,300,30,300,30
3205,250,60,250,60
3206,60,180,60,180
3207,70,170,70,170
3208,40,210,40,210
3209,290,40,290,40
3210,250,70,250,70
3211,280,40,280,40
3212,80,170,80,170
3213,30,220,30,220
3214,70,170,70,170
3215,0,240,0,240
3216,310,10,310,10
3217,260,70,260,70
3218,270,50,270,50
3219,50,190,50,190
3220,0,330,0,330
3221,0,240,0,240
3222,0,240,0,240
3223,300,20,300,20
3224,0,330,0,330
3225,60,190,60,190
3226,270,50,270,50
3227,300,10,300,10
3228,280,40,280,40
3229,90,160,90,160
3230,80,160,80,160
3231,0,240,0,240
3232,40,200,40,200
3233,50,190,50,190
3234,50,190,50,190
3235,20,220,20,220
3236,260,60,260,60
3237,280,40,280,40
3238,280,50,280,50
3239,70,180,70,180
3240,410,0,410,0
3241,50,190,50,190
3242,40,200,40,200
3243,0,240,0,240
3244,60,180,60,180
3245,410,0,410,0
3246,40,200,40,200
3247,280,40,280,40
3248,10,230,10,230
3249,50,190,50,190
3250,80,160,80,160
3251,40,200,40,200
3252,0,240,0,240
3253,270,50,270,50
3254,310,20,310,20
3255,410,0,410,0
3256,90,160,90,160
3257,270,50,270,50
3258,290,30,290,30
3259,300,20,300,20
3260,80,160,80,160
3261,0,240,0,240
3262,0,330,0,330
3263,290,30,290,30
3264,260,60,260,60
3265,270,50,270,50
3266,70,170,70,170
3267,260,60,260,60
3268,270,50,270,50
3269,410,0,410,0
3270,310,10,310,10
3271,270,50,270,50
3272,260,60,260,60
3273,250,70,250,70
3274,60,180,60,180
3275,0,240,0,240
3276,280,40,280,40
3277,50,190,50,190
3278,280,40,280,40
3279,260,60,260,60
3280,70,170,70,170
3281,250,70,250,70
3282,410,0,410,0
3283,310,10,310,10
3284,280,40,280,40
3285,0,330,0,330
3286,270,60,270,60
3287,310,10,310,10
3288,300,20,300,20
3289,70,180,70,180
3290,290,30,290,30
3291,0,240,0,240
3292,0,330,0,330
3293,40,210,40,210
3294,40,210,40,210
3295,90,160,90,160
3296,310,10,310,10
3297,410,0,410,0
3298,250,70,250,70
3299,410,0,410,0
3300,0,240,0,240
3301,270,60,270,60
3302,80,160,80,160
3303,290,30,290,30
3304,250,70,250,70
3305,410,0,410,0
3306,60,180,60,180
3307,270,50,270,50
3308,410,0,410,0
3309,60,170,60,170
3310,270,60,270,60
3311,30,200,30,200
3312,20,230,20,230
3313,70,170,70,170
3314,300,20,300,20
3315,60,180,60,180
3316,280,40,280,40
3317,410,0,410,0
3318,410,0,410,0
3319,40,200,40,200
3320,60,180,60,180
3321,0,330,0,330
3322,0,330,0,330
3323,0,240,0,240
3324,0,240,0,240
3325,70,170,70,170
3326,0,240,0,240
3327,0,330,0,330
3328,60,180,60,180
3329,260,60,260,60
3330,280,40,280,40
3331,410,0,410,0
3332,410,0,410,0
3333,60,180,60,180
3334,80,160,80,160
3335,30,220,30,220
3336,30,200,30,200
3337,80,160,80,160
3338,90,160,90,160
3339,0,330,0,330
3340,80,170,80,170
3341,0,330,0,330
3342,0,240,0,240
3343,30,210,30,210
3344,10,230,10,230
3345,40,200,40,200
3346,300,20,300,20
3347,410,0,410,0
3348,410,0,410,0
3349,300,20,300,20
3350,80,160,80,160
3351,280,40,280,40
3352,80,170,80,170
3353,260,60,260,60
3354,0,240,0,240
3355,280,40,280,40
3356,310,20,310,20
3357,290,30,290,30
3358,60,190,60,190
3359,270,50,270,50
3360,0,240,0,240
3361,410,0,410,0
3362,0,240,0,240
3363,0,240,0,240
3364,300,20,300,20
3365,250,70,250,70
3366,290,30,290,30
3367,70,180,70,180
3368,260,70,260,70
3369,40,200,40,200
3370,50,190,50,190
3371,60,190,60,190
3372,260,70,260,70
3373,70,180,70,180
3374,410,0,410,0
3375,40,200,40,200
3376,290,30,290,30
3377,40,200,40,200
3378,410,0,410,0
3379,280,40,280,40
3380,280,40,280,40
3381,280,40,280,40
3382,410,0,410,0
3383,20,230,20,230
3384,20,210,20,210
3385,280,40,280,40
3386,40,200,40,200
3387,260,60,260,60
3388,260,60,260,60
3389,50,190,50,190
3390,270,50,270,50
3391,80,170,80,170
3392,410,0,410,0
3393,60,190,60,190
3394,260,70,260,70
3395,0,240,0,240
3396,30,210,30,210
3397,70,170,70,170
3398,70,170,70,170
3399,300,20,300,20
3400,250,70,250,70
3401,40,200,40,200
3402,410,0,410,0
3403,0,240,0,240
3404,0,330,0,330
3405,280,40,280,40
3406,280,40,280,40
3407,80,160,80,160
3408,80,160,80,160
3409,80,160,80,160
3410,60,180,60,180
3411,240,70,240,70
3412,40,200,40,200
3413,260,60,260,60
3414,40,200,40,200
3415,60,180,60,180
3416,0,330,0,330
3417,0,330,0,330
3418,280,40,280,40
3419,10,230,10,230
3420,410,0,410,0
3421,250,70,250,70
3422,30,210,30,210
3423,410,0,410,0
3424,90,160,90,160
3425,30,210,30,210
3426,280,40,280,40
3427,90,160,90,160
3428,40,200,40,200
3429,30,210,30,210
3430,410,0,410,0
3431,50,200,50,200
3432,310,10,310,10
3433,290,30,290,30
3434,80,160,80,160
3435,80,170,80,170
3436,280,40,280,40
3437,260,60,260,60
3438,270,50,270,50
3439,50,200,50,200
3440,0,330,0,330
3441,50,200,50,200
3442,90,160,90,160
3443,20,210,20,210
3444,270,50,270,50
3445,10,230,10,230
3446,60,190,60,190
3447,0,330,0,330
3448,40,200,40,200
3449,270,60,270,60
3450,0,330,0,330
3451,60,180,60,180
3452,410,0,410,0
3453,300,20,300,20
3454,0,250,0,250
3455,310,20,310,20
3456,70,170,70,170
3457,280,40,280,40
3458,40,210,40,210
3459,0,330,0,330
3460,40,200,40,200
3461,90,160,90,160
3462,0,240,0,240
3463,410,0,410,0
3464,410,0,410,0
3465,60,190,60,190
3466,410,0,410,0
3467,0,240,0,240
3468,50,180,50,180
3469,70,170,70,170
3470,80,160,80,160
3471,80,160,80,160
3472,410,0,410,0
3473,70,170,70,170
3474,30,220,30,220
3475,60,180,60,180
3476,270,50,270,50
3477,0,330,0,330
3478,50,200,50,200
3479,410,0,410,0
3480,30,210,30,210
3481,310,10,310,10
3482,290,30,290,30
3483,280,40,280,40
3484,40,210,40,210
3485,20,230,20,230
3486,0,240,0,240
3487,60,190,60,190
3488,250,70,250,70
3489,250,70,250,70
3490,50,200,50,200
3491,0,240,0,240
3492,310,20,310,20
3493,410,0,410,0
3494,300,20,300,20
3495,260,60,260,60
3496,70,170,70,170
3497,60,180,60,180
3498,410,0,410,0
3499,280,40,280,40
3500,0,330,0,330
3501,280,40,280,40
3502,250,70,250,70
3503,0,330,0,330
3504,410,0,410,0
3505,270,50,270,50
3506,80,160,80,160
3507,60,180,60,180
3508,290,20,290,20
3509,50,200,50,200
3510,0,240,0,240
3511,270,50,270,50
3512,40,200,40,200
3513,0,330,0,330
3514,0,330,0,330
3515,290,30,290,30
3516,70,170,70,170
3517,0,240,0,240
3518,80,160,80,160
3519,20,220,20,220
3520,50,200,50,200
3521,260,60,260,60
3522,270,50,270,50
3523,90,160,90,160
3524,280,40,280,40
3525,0,330,0,330
3526,290,30,290,30
3527,280,40,280,40
3528,260,60,260,60
3529,410,0,410,0
3530,30,220,30,220
3531,10,230,10,230
3532,410,0,410,0
3533,0,330,0,330
3534,10,240,10,240
3535,300,20,300,20
3536,80,170,80,170
3537,70,170,70,170
3538,0,240,0,240
3539,300,20,300,20
3540,290,30,290,30
3541,0,330,0,330
3542,0,240,0,240
3543,410,0,410,0
3544,410,0,410,0
3545,270,50,270,50
3546,410,0,410,0
3547,270,50,270,50
3548,270,50,270,50
3549,20,220,20,220
3550,70,170,70,170
3551,280,40,280,40
3552,0,330,0,330
3553,40,200,40,200
3554,70,170,70,170
3555,80,160,80,160
3556,310,20,310,20
3557,280,40,280,40
3558,250,70,250,70
3559,0,240,0,240
3560,260,60,260,60
3561,40,200,40,200
3562,410,0,410,0
3563,0,240,0,240
3564,290,30,290,30
3565,0,240,0,240
3566,50,190,50,190
3567,30,210,30,210
3568,300,20,300,20
3569,40,200,40,200
3570,250,70,250,70
3571,280,40,280,40
3572,80,160,80,160
3573,20,220,20,220
3574,50,200,50,200
3575,60,180,60,180
3576,250,70,250,70
3577,20,230,20,230
3578,410,0,410,0
3579,250,70,250,70
3580,280,40,280,40
3581,30,210,30,210
3582,280,50,280,50
3583,0,250,0,250
3584,80,160,80,160
3585,280,40,280,40
3586,50,200,50,200
3587,0,330,0,330
3588,30,210,30,210
3589,30,210,30,210
3590,80,160,80,160
3591,60,190,60,190
3592,0,240,0,240
3593,30,210,30,210
3594,410,0,410,0
3595,410,0,410,0
3596,40,200,40,200
3597,0,240,0,240
3598,20,220,20,220
3599,10,230,10,230
3600,270,50,270,50
3601,280,40,280,40
3602,0,330,0,330
3603,410,0,410,0
3604,410,0,410,0
3605,30,210,30,210
3606,80,160,80,160
3607,270,60,270,60
3608,410,0,410,0
3609,40,200,40,200
3610,300,20,300,20
3611,70,180,70,180
3612,270,60,270,60
3613,70,170,70,170
3614,310,10,310,10
3615,0,240,0,240
3616,410,0,410,0
3617,260,60,260,60
3618,260,60,260,60
3619,40,200,40,200
3620,70,170,70,170
3621,80,170,80,170
3622,80,160,80,160
3623,0,330,0,330
3624,260,60,260,60
3625,40,190,40,190
3626,80,170,80,170
3627,90,160,90,160
3628,300,20,300,20
3629,20,220,20,220
3630,310,20,310,20
3631,20,230,20,230
3632,20,220,20,220
3633,250,70,250,70
3634,260,60,260,60
3635,50,190,50,190
3636,50,190,50,190
3637,290,30,290,30
3638,80,160,80,160
3639,20,230,20,230
3640,0,240,0,240
3641,280,50,280,50
3642,410,0,410,0
3643,280,40,280,40
3644,60,180,60,180
3645,10,230,10,230
3646,30,210,30,210
3647,270,60,270,60
3648,30,210,30,210
3649,270,50,270,50
3650,270,50,270,50
3651,0,240,0,240
3652,250,70,250,70
3653,0,330,0,330
3654,90,160,90,160
3655,50,190,50,190
3656,260,70,260,70
3657,0,240,0,240
3658,410,0,410,0
3659,260,60,260,60
3660,290,30,290,30
3661,410,0,410,0
3662,300,20,300,20
3663,290,40,290,40
3664,20,220,20,220
3665,20,220,20,220
3666,250,70,250,70
3667,0,240,0,240
3668,0,330,0,330
3669,410,0,410,0
3670,310,20,310,20
3671,310,10,310,10
3672,30,210,30,210
3673,260,70,260,70
3674,80,160,80,160
3675,0,240,0,240
3676,0,330,0,330
3677,260,60,260,60
3678,410,0,410,0
3679,250,70,250,70
3680,30,220,30,220
3681,310,10,310,10
3682,60,180,60,180
3683,80,160,80,160
3684,40,200,40,200
3685,50,190,50,190
3686,410,0,410,0
3687,0,240,0,240
3688,0,330,0,330
3689,50,200,50,200
3690,60,180,60,180
3691,0,330,0,330
3692,80,170,80,170
3693,0,250,0,250
3694,0,330,0,330
3695,290,30,290,30
3696,60,180,60,180
3697,280,40,280,40
3698,410,0,410,0
3699,90,160,90,160
3700,40,200,40,200
3701,10,230,10,230
3702,250,70,250,70
3703,410,0,410,0
3704,410,0,410,0
3705,260,70,260,70
3706,260,50,260,50
3707,80,170,80,170
3708,0,330,0,330
3709,250,70,250,70
3710,90,160,90,160
3711,10,230,10,230
3712,300,20,300,20
3713,260,60,260,60
3714,70,170,70,170
3715,80,160,80,160
3716,70,170,70,170
3717,60,180,60,180
3718,20,230,20,230
3719,50,190,50,190
3720,70,170,70,170
3721,80,160,80,160
3722,0,330,0,330
3723,280,50,280,50
3724,310,10,310,10
3725,270,50,270,50
3726,40,200,40,200
3727,70,180,70,180
3728,250,70,250,70
3729,0,330,0,330
3730,250,70,250,70
3731,0,240,0,240
3732,0,250,0,250
3733,50,190,50,190
3734,20,220,20,220
3735,260,60,260,60
3736,60,180,60,180
3737,250,70,250,70
3738,310,20,310,20
3739,410,0,410,0
3740,320,0,320,0
3741,70,170,70,170
3742,300,30,300,30
3743,280,50,280,50
3744,0,330,0,330
3745,0,330,0,330
3746,310,20,310,20
3747,280,40,280,40
3748,250,70,250,70
3749,70,170,70,170
3750,410,0,410,0
3751,10,230,10,230
3752,0,240,0,240
3753,0,240,0,240
3754,80,160,80,160
3755,0,240,0,240
3756,20,230,20,230
3757,250,60,250,60
3758,250,70,250,70
3759,70,170,70,170
3760,410,0,410,0
3761,60,180,60,180
3762,280,40,280,40
3763,310,10,310,10
3764,0,330,0,330
3765,0,330,0,330
3766,410,0,410,0
3767,0,330,0,330
3768,90,160,90,160
3769,70,170,70,170
3770,260,60,260,60
3771,270,50,270,50
3772,410,0,410,0
3773,70,170,70,170
3774,410,0,410,0
3775,50,190,50,190
3776,50,190,50,190
3777,260,60,260,60
3778,410,0,410,0
3779,250,70,250,70
3780,270,50,270,50
3781,290,40,290,40
3782,410,0,410,0
3783,410,0,410,0
3784,10,240,10,240
3785,80,160,80,160
3786,410,0,410,0
3787,410,0,410,0
3788,30,210,30,210
3789,10,230,10,230
3790,20,230,20,230
3791,50,190,50,190
3792,0,240,0,240
3793,0,240,0,240
3794,260,60,260,60
3795,50,180,50,180
3796,410,0,410,0
3797,270,50,270,50
3798,260,60,260,60
3799,0,330,0,330
3800,70,170,70,170
3801,290,40,290,40
3802,300,20,300,20
3803,290,30,290,30
3804,270,50,270,50
3805,0,330,0,330
3806,410,0,410,0
3807,410,0,410,0
3808,40,210,40,210
3809,0,240,0,240
3810,70,170,70,170
3811,270,50,270,50
3812,260,60,260,60
3813,310,10,310,10
3814,410,0,410,0
3815,250,70,250,70
3816,300,30,300,30
3817,280,40,280,40
3818,40,200,40,200
3819,0,330,0,330
3820,30,210,30,210
3821,270,60,270,60
3822,50,200,50,200
3823,260,60,260,60
3824,0,240,0,240
3825,0,240,0,240
3826,0,330,0,330
3827,0,330,0,330
3828,260,60,260,60
3829,0,250,0,250
3830,270,50,270,50
3831,0,240,0,240
3832,320,0,320,0
3833,80,160,80,160
3834,70,170,70,170
3835,0,330,0,330
3836,10,230,10,230
3837,290,30,290,30
3838,60,190,60,190
3839,270,50,270,50
3840,20,220,20,220
3841,300,20,300,20
3842,0,240,0,240
3843,60,180,60,180
3844,270,50,270,50
3845,30,220,30,220
3846,70,170,70,170
3847,70,170,70,170
3848,60,180,60,180
3849,290,30,290,30
3850,0,240,0,240
3851,70,170,70,170
3852,80,160,80,160
3853,270,50,270,50
3854,260,70,260,70
3855,80,160,80,160
3856,280,40,280,40
3857,290,30,290,30
3858,40,200,40,200
3859,70,160,70,160
3860,280,40,280,40
3861,10,230,10,230
3862,300,30,300,30
3863,410,0,410,0
3864,300,20,300,20
3865,40,200,40,200
3866,260,70,260,70
3867,280,50,280,50
3868,40,210,40,210
3869,250,60,250,60
3870,270,60,270,60
3871,270,60,270,60
3872,0,250,0,250
3873,0,240,0,240
3874,410,0,410,0
3875,250,70,250,70
3876,300,20,300,20
3877,250,70,250,70
3878,310,20,310,20
3879,0,250,0,250
3880,0,330,0,330
3881,410,0,410,0
3882,70,180,70,180
3883,410,0,410,0
3884,0,330,0,330
3885,260,60,260,60
3886,0,240,0,240
3887,410,0,410,0
3888,70,170,70,170
3889,20,220,20,220
3890,0,330,0,330
3891,250,70,250,70
3892,60,180,60,180
3893,260,60,260,60
3894,40,210,40,210
3895,280,40,280,40
3896,260,70,260,70
3897,310,10,310,10
3898,0,240,0,240
3899,30,220,30,220
3900,50,190,50,190
3901,70,160,70,160
3902,20,230,20,230
3903,290,20,290,20
3904,40,200,40,200
3905,90,160,90,160
3906,290,30,290,30
3907,0,240,0,240
3908,20,220,20,220
3909,10,230,10,230
3910,20,220,20,220
3911,40,200,40,200
3912,20,230,20,230
3913,30,210,30,210
3914,310,20,310,20
3915,90,160,90,160
3916,60,180,60,180
3917,20,220,20,220
3918,250,60,250,60
3919,280,50,280,50
3920,0,330,0,330
3921,0,330,0,330
3922,10,230,10,230
3923,90,160,90,160
3924,250,60,250,60
3925,290,30,290,30
3926,80,170,80,170
3927,270,50,270,50
3928,280,40,280,40
3929,20,220,20,220
3930,30,200,30,200
3931,260,60,260,60
3932,290,40,290,40
3933,410,0,410,0
3934,0,330,0,330
3935,270,50,270,50
3936,0,330,0,330
3937,0,330,0,330
3938,0,330,0,330
3939,50,190,50,190
3940,290,30,290,30
3941,270,50,270,50
3942,300,20,300,20
3943,310,20,310,20
3944,20,230,20,230
3945,70,170,70,170
3946,310,10,310,10
3947,310,10,310,10
3948,20,220,20,220
3949,410,0,410,0
3950,320,0,320,0
3951,40,210,40,210
3952,310,10,310,10
3953,300,20,300,20
3954,0,240,0,240
3955,60,190,60,190
3956,290,30,290,30
3957,80,160,80,160
3958,260,60,260,60
3959,0,240,0,240
3960,40,200,40,200
3961,0,240,0,240
3962,270,50,270,50
3963,0,330,0,330
3964,250,70,250,70
3965,410,0,410,0
3966,290,40,290,40
3967,30,210,30,210
3968,290,20,290,20
3969,280,40,280,40
3970,260,60,260,60
3971,280,40,280,40
3972,240,70,240,70
3973,410,0,410,0
3974,280,40,280,40
3975,70,170,70,170
3976,410,0,410,0
3977,80,160,80,160
3978,0,240,0,240
3979,60,180,60,180
3980,90,160,90,160
3981,40,200,40,200
3982,250,70,250,70
3983,0,240,0,240
3984,40,200,40,200
3985,70,170,70,170
3986,300,20,300,20
3987,0,330,0,330
3988,70,170,70,170
3989,20,230,20,230
3990,280,40,280,40
3991,260,70,260,70
3992,40,200,40,200
3993,0,330,0,330
3994,50,200,50,200
3995,280,40,280,40
3996,410,0,410,0
3997,260,60,260,60
3998,0,240,0,240
3999,0,240,0,240
4000,0,240,0,240
4001,90,160,90,160
4002,20,220,20,220
4003,250,70,250,70
4004,410,0,410,0
4005,280,50,280,50
4006,290,20,290,20
4007,310,20,310,20
4008,10,220,10,220
4009,250,70,250,70
4010,260,50,260,50
4011,250,70,250,70
4012,290,40,290,40
4013,0,240,0,240
4014,80,170,80,170
4015,60,190,60,190
4016,60,180,60,180
4017,0,250,0,250
4018,0,250,0,250
4019,290,40,290,40
4020,270,60,270,60
4021,10,230,10,230
4022,410,0,410,0
4023,270,50,270,50
4024,410,0,410,0
4025,80,160,80,160
4026,20,220,20,220
4027,80,160,80,160
4028,20,220,20,220
4029,20,230,20,230
4030,60,180,60,180
4031,260,60,260,60
4032,70,170,70,170
4033,50,200,50,200
4034,410,0,410,0
4035,410,0,410,0
4036,70,170,70,170
4037,270,50,270,50
4038,270,50,270,50
4039,80,160,80,160
4040,410,0,410,0
4041,410,0,410,0
4042,260,60,260,60
4043,280,40,280,40
4044,0,330,0,330
4045,0,240,0,240
4046,0,330,0,330
4047,250,60,250,60
4048,410,0,410,0
4049,270,50,270,50
4050,310,10,310,10
4051,410,0,410,0
4052,0,240,0,240
4053,280,50,280,50
4054,310,10,310,10
4055,310,10,310,10
4056,320,10,320,10
4057,0,240,0,240
4058,270,50,270,50
4059,410,0,410,0
4060,270,60,270,60
4061,70,170,70,170
4062,410,0,410,0
4063,30,220,30,220
4064,40,200,40,200
4065,40,210,40,210
4066,10,230,10,230
4067,310,10,310,10
4068,0,240,0,240
4069,20,220,20,220
4070,290,30,290,30
4071,80,160,80,160
4072,280,40,280,40
4073,410,0,410,0
4074,0,330,0,330
4075,0,240,0,240
4076,60,180,60,180
4077,270,60,270,60
4078,0,330,0,330
4079,300,20,300,20
4080,80,160,80,160
4081,30,210,30,210
4082,250,70,250,70
4083,30,210,30,210
4084,80,160,80,160
4085,70,170,70,170
4086,250,70,250,70
4087,280,40,280,40
4088,60,190,60,190
4089,410,0,410,0
4090,280,40,280,40
4091,270,50,270,50
4092,60,180,60,180
4093,270,60,270,60
4094,280,40,280,40
4095,410,0,410,0
4096,260,60,260,60
4097,40,210,40,210
4098,260,60,260,60
4099,410,0,410,0
4100,310,20,310,20
4101,270,60,270,60
4102,410,0,410,0
4103,410,0,410,0
4104,40,200,40,200
4105,250,70,250,70
